epoch,training_loss,validation_loss,selection_score
1,1.563362168642883,1.4045345783233643,-1.4045345783233643
2,1.3747851156530948,1.3646478652954102,-1.3646478652954102
3,1.2906790393876406,1.0967235565185547,-1.0967235565185547
4,0.6331089759253625,0.25863468647003174,-0.25863468647003174
5,0.23939343108234626,0.14287790656089783,-0.14287790656089783
6,0.17167283395637795,0.08109404146671295,-0.08109404146671295
7,0.15854897472266707,0.06485071778297424,-0.06485071778297424
8,0.1350948894815452,0.060198768973350525,-0.060198768973350525
9,0.12317756083300567,0.059878870844841,-0.059878870844841
10,0.11690306343430186,0.05655376985669136,-0.05655376985669136
11,0.10745348084950482,0.05884680896997452,-0.05884680896997452
12,0.11687484017001527,0.06047629565000534,-0.06047629565000534
13,0.11155504502994056,0.05568784475326538,-0.05568784475326538
14,0.1283409740283804,0.0491672083735466,-0.0491672083735466
15,0.09950762286414602,0.048202864825725555,-0.048202864825725555
16,0.0986826528507151,0.04704251512885094,-0.04704251512885094
17,0.10681222866901638,0.049605779349803925,-0.049605779349803925
18,0.12200378934773029,0.04440602287650108,-0.04440602287650108
19,0.10391701955797018,0.04518440365791321,-0.04518440365791321
20,0.10364508105466258,0.045423176139593124,-0.045423176139593124
