epoch,training_loss,validation_loss,selection_score
1,1.203637384018808,0.7964946031570435,-0.7964946031570435
2,0.5775587636604365,0.45290321111679077,-0.45290321111679077
3,0.37047214594133016,0.38904809951782227,-0.38904809951782227
4,0.32330808104036163,0.3407607078552246,-0.3407607078552246
5,0.29956435594918596,0.3117905259132385,-0.3117905259132385
6,0.28415809184615604,0.29315805435180664,-0.29315805435180664
7,0.27734276868608415,0.32987338304519653,-0.32987338304519653
8,0.2753597088320335,0.30729955434799194,-0.30729955434799194
9,0.27059609524051403,0.33602142333984375,-0.33602142333984375
10,0.2658919092532685,0.2895980775356293,-0.2895980775356293
11,0.26351693147152705,0.287252277135849,-0.287252277135849
12,0.2560543877725504,0.3072969913482666,-0.3072969913482666
13,0.2610248211765843,0.29524484276771545,-0.29524484276771545
14,0.2493033241723895,0.2869054079055786,-0.2869054079055786
15,0.24829235832992244,0.27824509143829346,-0.27824509143829346
16,0.2472872080062401,0.2816457748413086,-0.2816457748413086
17,0.24098711172105267,0.28712716698646545,-0.28712716698646545
18,0.25122715366250026,0.3068881630897522,-0.3068881630897522
19,0.24801036135897753,0.28087812662124634,-0.28087812662124634
20,0.22929743572485636,0.2757205069065094,-0.2757205069065094
21,0.2393724614935447,0.285354882478714,-0.285354882478714
22,0.24554440080686993,0.2852172255516052,-0.2852172255516052
23,0.23903321181741613,0.2761184871196747,-0.2761184871196747
24,0.24035794951875947,0.27509045600891113,-0.27509045600891113
25,0.23508837360602158,0.2822414040565491,-0.2822414040565491
26,0.24119566954099214,0.2812776565551758,-0.2812776565551758
27,0.226097075401093,0.28121626377105713,-0.28121626377105713
28,0.2231089084237511,0.279913067817688,-0.279913067817688
29,0.23286066951530246,0.2763538956642151,-0.2763538956642151
30,0.22705052825466815,0.27839338779449463,-0.27839338779449463
