epoch,training_loss,validation_loss,selection_score
1,0.03601990681576787,0.00014374330930877477,1.0
2,0.00035499852288575355,2.878886334656272e-05,1.0
3,0.0001448763244081333,1.13016340037575e-05,1.0
4,8.366220622909688e-05,5.453318408399355e-06,1.0
5,5.584808758396234e-05,3.411051011426025e-06,1.0
6,3.5493676921413726e-05,1.9767333014897304e-06,1.0
7,2.8896984331801095e-05,1.2750001587846782e-06,1.0
8,2.3010215723583573e-05,1.0578403362160316e-06,1.0
9,2.6036546115349102e-05,1.18817104066693e-06,1.0
10,1.4978831505643376e-05,5.965737273072591e-07,1.0
